Date;EMP;PE;CAPE;DY;Rho;MOV ;IR;RR;Y02;Y10;STP;CF;MG;RV;ED;UN;GDP;M2;CPI;DIL;YSS;NYF;_AU;_DXY;_LCP;_TY;_OIL;_MKT;_VA;_GR
6/19/88;1,8%;12,8;14,351;3,68;-0,082;116,1;6,37;-0,23;8,004;9,002;0,998;0,133202742409403;9,8%;10,3%;12,7%;-0,129032258064516;0,0448448295006225;0,0590355366539321;0,0449621717010531;-0,00226697264984688;0,187653;1,543953925;450,25;92,05;2433,5;96,203;16,43;422,5;853,699;461,702
6/26/88;1,8%;13;14,508;3,64;-0,08;117,7;6,51;-0,23;7,97;8,825;0,855;0,133202742409403;9,8%;10,3%;12,7%;-0,129032258064516;0,0448448295006225;0,0590355366539321;0,0449621717010531;-0,00219138906165539;0,212461;1,543953925;443,75;94,92;2424,9;97,468;16,03;427,48;853,699;461,702
7/3/88;2,0%;12,1;14,361;3,66;-0,078;117,1;6,55;-0,23;7,982;8,767;0,785;0,133202742409403;11,8%;10,6%;13,5%;-0,129032258064516;0,0448448295006225;0,0590355366539321;0,0449621717010531;-0,00137306422359684;0,241273;1,543953925;437;95,89;2296,7;97,989;14,91;425,35;898,704;480,049
7/10/88;2,1%;12;14,287;3,68;-0,078;120,6;6,66;-0,23;8,241;9,036;0,795;0,133202742409403;11,7%;10,6%;13,5%;-0,129032258064516;0,0448448295006225;0,0590355366539321;0,0449621717010531;0,000702221881187182;0,190172;1,543953925;438,75;96,36;2270,4;96,482;15,42;423,56;898,704;480,049
7/17/88;2,1%;12,1;14,379;3,66;-0,072;121;6,72;0,18;8,279;9,056;0,777;0,0727788279773158;11,7%;10,6%;13,5%;-0,114754098360656;0,0448448295006225;0,0605253688377114;0,044809908696303;0,000704543842740435;0,155751;1,473786002;438,25;98,13;2175,4;96,526;14,85;426,69;898,704;480,049
7/24/88;2,1%;11,8;13,943;3,78;-0,067;121,6;6,74;0,18;8,315;9,105;0,79;0,0727788279773158;11,7%;10,6%;13,5%;-0,114754098360656;0,0448448295006225;0,0605253688377114;0,044809908696303;-0,000121973035827505;0,212622;1,473786002;442,75;95,28;2200,3;96,388;16,27;414,16;898,704;480,049
7/31/88;2,0%;12,1;14,35;3,67;-0,075;122;6,95;0,18;8,389;9,115;0,726;0,0727788279773158;11,7%;10,6%;13,5%;-0,114754098360656;0,0448448295006225;0,0605253688377114;0,044809908696303;0,000158025425826214;0,198081;1,473786002;435,75;97,53;2123,3;96,494;16,37;426,66;898,97;476,915
8/7/88;2,0%;12,1;14,265;3,7;-0,07;122,1;6,92;0,18;8,465;9,11;0,645;0,0727788279773158;11,8%;10,6%;13,6%;-0,114754098360656;0,0448448295006225;0,0605253688377114;0,044809908696303;-0,00134204637089763;0,106125;1,473786002;432,5;98,22;2128,4;96,686;15,31;426,34;898,97;476,915
8/14/88;2,0%;11,7;13,837;3,82;-0,059;125,6;7,01;0,18;8,655;9,375;0,72;0,0252935862691961;11,8%;10,6%;13,6%;-0,1;0,0358622208020949;0,0570260383042824;0,0412836338548175;-0,00138135989014176;0,21131;1,473786002;431,75;97,93;2167,9;95,27;15,53;413,96;898,97;476,915
8/21/88;2,0%;11,6;13,769;3,84;-0,075;125,5;7,06;0,497;8,736;9,35;0,614;0,0813008130081301;11,8%;10,6%;13,6%;-0,0666666666666668;0,0419318040120329;0,0587475790832797;0,044640026851144;-0,00132442021762336;0,148645;1,610252103;432;98,53;2186;95,581;15,77;412,33;898,97;476,915
